gene;frequency
PLAT;0.007
SERPINA5;0.007
PTPN1;0.007
WWP1;0.007
XRCC1;0.007
CSNK1E;0.007
RHOQ;0.007
FSCN1;0.007
PDLIM7;0.007
PDP1;0.007
PSMD8;0.007
RALA;0.007
RALB;0.007
SNIP1;0.007
RIT1;0.007
CYTH2;0.007
MAPK10;0.007
HTT;0.007
PTPRC;0.007
KLF10;0.007
GABARAP;0.007
GPSM2;0.007
TGFB3;0.007
TBCE;0.007
HSPA9;0.007
USP7;0.007
U2AF2;0.007
AUP1;0.007
TCEB1;0.007
MID2;0.007
PPM1B;0.007
BCLAF1;0.007
GPHN;0.007
C1QTNF1;0.007
BUB1B;0.007
OSTF1;0.007
SHCBP1;0.007
BCL10;0.007
C1D;0.007
ARFGAP1;0.007
INHBC;0.007
PSMC1;0.007
CDK4;0.007
UCP3;0.007
ATF1;0.007
FBXW2;0.007
NEO1;0.007
TRIM37;0.007
SMARCA5;0.007
TIMELESS;0.007
SNAPC5;0.007
LPAR2;0.007
RBM7;0.007
MMP9;0.007
STRA13;0.007
ATXN2;0.007
POLDIP3;0.007
NAT9;0.007
ACTA2;0.007
PRSS3;0.007
ILF3;0.007
RFX2;0.007
ADRB3;0.007
RCC1;0.007
HNRNPA1;0.007
IK;0.007
PPIE;0.007
CHIC2;0.007
MEAF6;0.007
MAP1B;0.007
HOXD10;0.007
RPL22;0.007
CHD9;0.007
SCRIB;0.007
GAN;0.007
POU4F1;0.007
CHMP2B;0.007
ADD3;0.007
RAB5B;0.007
NEFH;0.007
CCDC90B;0.007
CCT6A;0.007
ADI1;0.007
HOXC13;0.007
ELL3;0.007
ZNHIT6;0.007
NF2;0.006
PLCG1;0.006
LCP2;0.006
PECAM1;0.006
LYN;0.006
OPTN;0.006
ATR;0.006
SPI1;0.006
HMGA1;0.006
PIN1;0.006
DHX9;0.006
PRKCE;0.006
MST1;0.006
CPNE1;0.006
MEOX1;0.006
PTPRJ;0.006
KCNAB2;0.006
POLD2;0.006
TRIB1;0.006
PRKCH;0.006
NRCAM;0.006
EFNA5;0.006
APEX1;0.006
SNCG;0.006
GRIN2D;0.006
RRAD;0.006
RHOG;0.006
GORASP2;0.006
RUNDC3A;0.006
RAD54B;0.006
MORF4L1;0.006
HBP1;0.006
OPRD1;0.006
CAV3;0.006
NFASC;0.006
SPOCK1;0.006
SNAP23;0.006
DISC1;0.006
UBB;0.006
CDC20;0.006
THBS2;0.006
MEF2C;0.006
EFNB1;0.006
TNNT1;0.006
LAMB1;0.006
MTA1;0.006
CHUK;0.006
TAX1BP1;0.006
STK11;0.006
MED28;0.006
UTP14A;0.006
GABPB1;0.006
TANK;0.006
SNAPC2;0.006
FOXF2;0.006
JUND;0.006
PPP5C;0.006
PCBP2;0.006
GRM2;0.006
FBXO2;0.006
SSH3;0.006
ACACA;0.006
DDX54;0.006
STAT3;0.006
EPAS1;0.006
AURKAIP1;0.006
SENP3;0.006
KCNN4;0.006
AURKB;0.006
RTN3;0.006
PPP1R10;0.006
VCAN;0.006
LOXL1;0.006
ANAPC5;0.006
FGF2;0.006
PRKD3;0.006
SF3B4;0.006
HNF1A;0.006
COL18A1;0.006
ARPC2;0.006
ME2;0.006
APBB2;0.006
FHL1;0.006
DES;0.006
PRDX1;0.006
TES;0.006
CENPB;0.006
SREBF1;0.006
RUNX1T1;0.006
COMP;0.006
PSEN1;0.006
AGA;0.006
ARID4A;0.006
ADRM1;0.006
CEACAM5;0.006
COL4A2;0.006
NBR1;0.006
UBC;0.006
ERH;0.006
GALNT1;0.006
PIN4;0.006
MECP2;0.006
SCAMP3;0.006
P2RX7;0.006
CD59;0.006
COL3A1;0.006
BDKRB1;0.006
EZH1;0.006
PARN;0.006
SH3YL1;0.006
SLC1A1;0.006
ASB13;0.006
GREM1;0.006
SMS;0.006
TPM2;0.005
PIAS1;0.005
CD151;0.005
TGM2;0.005
PLG;0.005
KALRN;0.005
ERBB3;0.005
IRS4;0.005
SOS2;0.005
DGKZ;0.005
FURIN;0.005
BAG3;0.005
TTF2;0.005
CANX;0.005
BTRC;0.005
MMP3;0.005
ILK;0.005
RAB3B;0.005
APBB1;0.005
RBL2;0.005
PTPRM;0.005
TXN;0.005
CNN1;0.005
MYOZ3;0.005
APBA2;0.005
NR2F6;0.005
TBCD;0.005
CCNA1;0.005
E2F5;0.005
NPAS2;0.005
LDB1;0.005
CCR5;0.005
SLC6A9;0.005
FLT4;0.005
GTF2F1;0.005
SMARCC1;0.005
CDK7;0.005
YTHDC1;0.005
ZBTB17;0.005
CEACAM3;0.005
TNNI2;0.005
CCNG1;0.005
RIPK2;0.005
HAP1;0.005
C1R;0.005
TRAF4;0.005
PDK2;0.005
MME;0.005
ARHGEF6;0.005
KCNJ4;0.005
PARK2;0.005
PSMD4;0.005
UPF1;0.005
HIPK3;0.005
SH3GLB1;0.005
HDAC9;0.005
CRIP2;0.005
CXCR4;0.005
MARK3;0.005
EIF2S2;0.005
RPS6KA5;0.005
ARL6IP1;0.005
APH1A;0.005
TNPO3;0.005
CBFA2T2;0.005
PTGIR;0.005
JAM3;0.005
NOS1;0.005
MYO10;0.005
PAFAH1B2;0.005
GMNN;0.005
STAMBP;0.005
PSMB2;0.005
CAPNS1;0.005
AQP3;0.005
ADAR;0.005
DOC2A;0.005
ACAN;0.005
ATF2;0.005
BTG3;0.005
PARP4;0.005
TICAM1;0.005
CDC42EP4;0.005
VPS41;0.005
BTBD2;0.005
PLEK;0.005
CDKN3;0.005
NRAS;0.005
A2M;0.005
POU2F1;0.005
UROS;0.005
ITGA5;0.005
NF1;0.005
MSX1;0.005
HSF1;0.005
NHLH2;0.005
BCL9;0.005
SPP1;0.005
TCL1A;0.005
ZBED1;0.005
TUBB3;0.005
AKR1C3;0.005
MMP8;0.005
PRPF3;0.005
UTP6;0.005
CAPZB;0.005
PRUNE2;0.005
ATPIF1;0.005
ADD1;0.005
RBPJ;0.005
CORO1B;0.005
SSR1;0.005
DSC2;0.005
PRSS23;0.005
FXYD6;0.005
SLCO3A1;0.005
MTNR1A;0.005
ANP32B;0.005
CNN2;0.005
HNRNPAB;0.005
CCT8;0.005
ITPR3;0.005
ZNF8;0.005
EIF1AY;0.005
CLCA1;0.005
RAB5C;0.005
FAT4;0.005
C1orf116;0.005
DLC1;0.005
ST3GAL2;0.005
MKKS;0.005
GPR135;0.005
FBXO11;0.005
F3;0.005
HOXA7;0.005
GRB7;0.004
TLE3;0.004
SYK;0.004
NPHS1;0.004
PTPRO;0.004
CRKL;0.004
WAS;0.004
NOTCH1;0.004
PLCG2;0.004
CASP3;0.004
NFYA;0.004
TPM1;0.004
SMAD4;0.004
ADRA1D;0.004
ATN1;0.004
PLD1;0.004
AKAP13;0.004
DAAM1;0.004
ARHGEF18;0.004
ADRA1B;0.004
GTF2I;0.004
PLSCR1;0.004
MYBL2;0.004
PEX19;0.004
GADD45B;0.004
GADD45G;0.004
WBP11;0.004
MRAS;0.004
TRPC3;0.004
AXIN1;0.004
PRNP;0.004
TLN1;0.004
CAV1;0.004
SIAH1;0.004
WASL;0.004
POLM;0.004
PSMA1;0.004
CASP7;0.004
MAP2;0.004
MYOZ1;0.004
HMGB2;0.004
HNRNPL;0.004
UBR5;0.004
MKNK1;0.004
C3;0.004
GNA12;0.004
BMPR2;0.004
MAPK6;0.004
PARD6A;0.004
SYT1;0.004
ITGB2;0.004
MCM3AP;0.004
DOCK1;0.004
GOLGA5;0.004
SDCBP;0.004
RAPGEF6;0.004
RGL2;0.004
EPHA3;0.004
RPA2;0.004
SP3;0.004
ZNHIT3;0.004
TAL1;0.004
ADCYAP1;0.004
TNPO1;0.004
EPB41;0.004
CYB5A;0.004
CALD1;0.004
DRD3;0.004
FGFR1;0.004
PHB2;0.004
CEBPZ;0.004
MEF2A;0.004
CHEK2;0.004
FUBP1;0.004
USP8;0.004
CENPJ;0.004
HSP90AB1;0.004
SIRT1;0.004
PSMD2;0.004
NCKIPSD;0.004
CA9;0.004
ETV6;0.004
PNKP;0.004
GRIN2A;0.004
RAB1B;0.004
KCNJ2;0.004
TSPYL2;0.004
EIF5;0.004
CLIC1;0.004
TRAK1;0.004
PELI1;0.004
NUP153;0.004
STAM;0.004
PDCD6;0.004
SYNE1;0.004
CASP2;0.004
PIGQ;0.004
MS4A1;0.004
KHDRBS3;0.004
SPEN;0.004
APAF1;0.004
NFKB2;0.004
RAPGEF4;0.004
RASGRF1;0.004
NEUROG1;0.004
CDKN2C;0.004
CDKN2AIP;0.004
PEX14;0.004
LSM4;0.004
ECE1;0.004
HOPX;0.004
RNMT;0.004
ELAVL1;0.004
AIMP2;0.004
FOXO3;0.004
PLCB1;0.004
CLDN4;0.004
JAM2;0.004
CACNB4;0.004
IPO5;0.004
MTOR;0.004
VANGL1;0.004
MAP3K14;0.004
EIF4E;0.004
NAP1L4;0.004
EXOSC7;0.004
ATP7B;0.004
LITAF;0.004
MYF6;0.004
TLK1;0.004
RGS19;0.004
EP400;0.004
CARD14;0.004
ITPR1;0.004
TACC3;0.004
FZD3;0.004
TOP2B;0.004
APC2;0.004
GC;0.004
MAD2L1;0.004
DSG2;0.004
ADRA2A;0.004
DCLRE1C;0.004
MPG;0.004
KCNK1;0.004
CDK20;0.004
CDH2;0.004
STOM;0.004
ACAT2;0.004
ERCC6;0.004
TTR;0.004
RAB1A;0.004
RECQL;0.004
ITPKA;0.004
NOS2;0.004
CPT1A;0.004
MFAP2;0.004
HOXB9;0.004
PNP;0.004
RPIA;0.004
RBM10;0.004
SEPHS1;0.004
MAN2A2;0.004
APPL1;0.004
BTC;0.004
UBE2Z;0.004
ULK2;0.004
NINL;0.004
RBPMS;0.004
AKIRIN2;0.004
CCDC53;0.004
TXNDC9;0.004
FBL;0.004
RPL30;0.004
GCM1;0.004
ZNF74;0.004
NAP1L1;0.004
GOLM1;0.004
HSPB6;0.004
KCNK15;0.004
HMBS;0.004
KIF1A;0.004
PLCB3;0.004
SIK3;0.004
RARG;0.004
RPS6KB2;0.004
CUL4B;0.004
CNBP;0.004
HGFAC;0.004
HLA-DRA;0.004
KRT85;0.004
APOB;0.004
AKR1B1;0.004
TFDP1;0.004
ASGR1;0.004
SMARCA1;0.004
THOP1;0.004
ZMYM6;0.004
ZC3H7B;0.004
USP39;0.004
DAPP1;0.004
PGLS;0.004
RASL11B;0.004
DGCR6L;0.004
UTP3;0.004
CNP;0.004
NEB;0.004
LIPT1;0.004
C8orf33;0.004
CYB561D2;0.004
TACR3;0.004
DLG4;0.003
PICK1;0.003
KDM5B;0.003
BTK;0.003
PRKCQ;0.003
SH3BP2;0.003
OCLN;0.003
SMAD7;0.003
CD81;0.003
FLT1;0.003
GNAI3;0.003
HIF1A;0.003
PRKD1;0.003
HDAC3;0.003
MAPKAPK5;0.003
SMAD5;0.003
CEBPB;0.003
ELANE;0.003
KLK2;0.003
UBE2G1;0.003
TRIO;0.003
HIRA;0.003
GSK3B;0.003
CUL3;0.003
PDIA3;0.003
TAPBP;0.003
MECR;0.003
MAP4K4;0.003
GTF2H1;0.003
TEK;0.003
IL1RAP;0.003
PIK3CB;0.003
GAB1;0.003
POLR1E;0.003
NTRK1;0.003
NR1I2;0.003
MYOD1;0.003
PTPN14;0.003
SERPINB13;0.003
PRPF40A;0.003
COPA;0.003
S1PR1;0.003
P2RY2;0.003
ITGB3BP;0.003
GP1BA;0.003
DIAPH1;0.003
FEN1;0.003
RFC2;0.003
CHAF1A;0.003
PELP1;0.003
DNAJC3;0.003
PTGES3;0.003
PPP1CC;0.003
MAP2K1;0.003
RPS6KA2;0.003
PEBP1;0.003
PRKCB;0.003
NTRK2;0.003
AKAP5;0.003
GMFB;0.003
BTG2;0.003
AFAP1;0.003
GABRR2;0.003
GNA13;0.003
MMP13;0.003
TRAF6;0.003
SLC4A2;0.003
RIMS1;0.003
KIF20A;0.003
RAN;0.003
KPNA3;0.003
DNAJC7;0.003
PNPLA2;0.003
SUV39H1;0.003
PRDM2;0.003
PA2G4;0.003
RBBP8;0.003
ENC1;0.003
MAPK7;0.003
BRD8;0.003
ADRB1;0.003
PRMT2;0.003
NSD1;0.003
TAF11;0.003
NUDT21;0.003
SRI;0.003
CSNK2A2;0.003
TRIP6;0.003
ITSN1;0.003
ABI1;0.003
EPB41L1;0.003
EPB41L2;0.003
SPTBN2;0.003
APBA1;0.003
RASA1;0.003
MS4A2;0.003
CD1D;0.003
CXCL12;0.003
NR4A1;0.003
NCF4;0.003
BANF1;0.003
CCNH;0.003
RPS6KA1;0.003
POLR2E;0.003
TP53BP1;0.003
PDE6G;0.003
NLK;0.003
TFR2;0.003
TRPC6;0.003
SNTA1;0.003
JAG2;0.003
PIK3C2B;0.003
CRIPT;0.003
HNF4A;0.003
TSG101;0.003
PTEN;0.003
UBE2K;0.003
CDC14B;0.003
BRF1;0.003
WWOX;0.003
TOPORS;0.003
GPS1;0.003
CASP10;0.003
MADD;0.003
SH2B1;0.003
SF1;0.003
GPC1;0.003
RAMP1;0.003
ELF5;0.003
LPXN;0.003
DEFB1;0.003
TCEB2;0.003
HIF1AN;0.003
GPN1;0.003
MED25;0.003
SMC3;0.003
NPR3;0.003
PSMD10;0.003
IPO13;0.003
NCL;0.003
SLC2A1;0.003
CBX5;0.003
POLD1;0.003
GPX7;0.003
CADPS2;0.003
RAB7A;0.003
WIPF1;0.003
SPN;0.003
TAF7;0.003
CD40LG;0.003
SAP30;0.003
SIN3B;0.003
BNIP3;0.003
BNIP3L;0.003
PHOX2A;0.003
MBD2;0.003
ONECUT1;0.003
PAX3;0.003
MCM5;0.003
S100P;0.003
LSM6;0.003
PEX7;0.003
KCNJ9;0.003
AP3B2;0.003
CSNK1G2;0.003
MINK1;0.003
BMP7;0.003
CDA;0.003
ARL4A;0.003
PIAS3;0.003
METTL2B;0.003
GDF9;0.003
SULT1E1;0.003
BMP1;0.003
KCNK3;0.003
RGS13;0.003
GJB3;0.003
KIRREL;0.003
GABRR1;0.003
RAE1;0.003
TOMM34;0.003
MALL;0.003
STRN;0.003
CDT1;0.003
GNB2;0.003
PHF21A;0.003
YWHAH;0.003
KIF1C;0.003
GABBR1;0.003
CLIC4;0.003
IMPDH2;0.003
MLXIP;0.003
TSPAN4;0.003
RFX4;0.003
KPNA6;0.003
PLEKHB2;0.003
UBE2E1;0.003
CNOT7;0.003
REXO4;0.003
TCAP;0.003
ASCL1;0.003
SPHK1;0.003
DMPK;0.003
PSMA7;0.003
RCAN2;0.003
MYOG;0.003
NELL1;0.003
HEXIM1;0.003
PCBP1;0.003
PIK3R4;0.003
RORB;0.003
DOC2B;0.003
RNF111;0.003
MED31;0.003
DLGAP5;0.003
TSPAN15;0.003
TNFRSF21;0.003
FASTK;0.003
IRF5;0.003
ARPC3;0.003
SLC34A1;0.003
IRF2;0.003
RAI14;0.003
ANAPC2;0.003
SCEL;0.003
BTBD1;0.003
TSC22D4;0.003
SLC7A11;0.003
THAP1;0.003
POLR1D;0.003
HCK;0.003
ATP6V1D;0.003
SOX17;0.003
CEBPD;0.003
MCM2;0.003
RPLP1;0.003
KRT19;0.003
ARNT2;0.003
ARRB2;0.003
DUSP13;0.003
DCAF6;0.003
SOX10;0.003
PRDX3;0.003
CD177;0.003
LHCGR;0.003
TERF1;0.003
HIST1H1B;0.003
LMNA;0.003
HMOX1;0.003
GZMB;0.003
TYRP1;0.003
CHRM2;0.003
IFI6;0.003
GSTP1;0.003
NCF1;0.003
SIX1;0.003
NADK;0.003
TIMP4;0.003
SLC25A5;0.003
KCTD5;0.003
ATP6V1E1;0.003
PCBD1;0.003
ERCC1;0.003
IGFBP3;0.003
ZNF165;0.003
RPL29;0.003
ZNF205;0.003
MYO6;0.003
CCNB1IP1;0.003
TINAGL1;0.003
IFFO1;0.003
ZFC3H1;0.003
NUDT3;0.003
ZNF250;0.003
ZNF426;0.003
ADAM10;0.003
PCYT1B;0.003
HNF1B;0.003
ACVR2A;0.003
PRAF2;0.003
SRRT;0.003
ACTR10;0.003
CYBA;0.003
ZNF76;0.003
PPP1R2;0.003
LIG1;0.003
RPS10;0.003
MYO9A;0.003
WWC1;0.003
RNF10;0.003
SDCCAG3;0.003
WDR47;0.003
MYL6;0.003
HTR4;0.003
MBD1;0.003
RAG1;0.003
FOXO4;0.003
GTF2E1;0.003
GPSM3;0.003
ARL4C;0.003
TNRC6B;0.003
PGK1;0.003
CYCS;0.003
IL1B;0.003
TMSB4Y;0.003
PLCL2;0.003
CSRNP2;0.003
TTF1;0.003
ZNF510;0.003
UXT;0.003
PLXNA2;0.003
DYNLRB1;0.003
SUZ12;0.003
FGD6;0.003
MNS1;0.003
C11orf16;0.003
MRPS18B;0.003
ARC;0.003
FAM189A2;0.003
ZNF646;0.003
DDAH2;0.003
FAM13C;0.003
PRDX2;0.003
STOML2;0.003
GMPS;0.003
HOXA2;0.003
PTOV1;0.003
TBRG4;0.003
WFDC2;0.003
SPIN1;0.003
SUPT7L;0.003
MTF2;0.003
PIK3C2A;0.003
IL13;0.003
MMP7;0.002
SIAH2;0.002
CBLB;0.002
TRPV4;0.002
TP53BP2;0.002
DOK1;0.002
STAP1;0.002
EPHB2;0.002
PIK3CG;0.002
KHDRBS1;0.002
POU1F1;0.002
GTF2F2;0.002
STAT4;0.002
NRIP1;0.002
MYBBP1A;0.002
SERPINA3;0.002
MAFB;0.002
RBM39;0.002
RBBP6;0.002
MMP1;0.002
GATA1;0.002
OPRK1;0.002
BLK;0.002
ROCK1;0.002
RAP1GDS1;0.002
NKX2-1;0.002
MCM10;0.002
ABCD1;0.002
NR1H3;0.002
AIP;0.002
TIE1;0.002
PFKM;0.002
PLA2G2A;0.002
TUB;0.002
USO1;0.002
PIAS2;0.002
HERC1;0.002
THBS1;0.002
RUVBL1;0.002
CASP1;0.002
PDGFB;0.002
COPB1;0.002
EPS8;0.002
ITGA2B;0.002
ANGPTL3;0.002
LDLRAP1;0.002
SNX17;0.002
ARNT;0.002
CLSTN1;0.002
POLH;0.002
POLB;0.002
DNTT;0.002
POLL;0.002
DNTTIP2;0.002
SOCS3;0.002
F8;0.002
TRAF3;0.002
TNFRSF1A;0.002
PTPRS;0.002
PTPRD;0.002
AKAP9;0.002
AKAP11;0.002
SERPINE2;0.002
CAPZA1;0.002
CACYBP;0.002
C1QBP;0.002
MKNK2;0.002
FHL3;0.002
TERT;0.002
STAG1;0.002
C4BPA;0.002
NPHP1;0.002
GRIN1;0.002
ADAM9;0.002
PRKCG;0.002
MARK4;0.002
RNF123;0.002
FEZ2;0.002
MMP17;0.002
USF2;0.002
MAPK8IP1;0.002
PDHX;0.002
XAB2;0.002
ANG;0.002
MAPK8IP2;0.002
CAMK2G;0.002
BAZ1A;0.002
RAB11FIP1;0.002
USP6NL;0.002
ALS2CL;0.002
TRIM24;0.002
RMND5A;0.002
RENBP;0.002
UNG;0.002
AHR;0.002
E2F3;0.002
RBBP5;0.002
MNAT1;0.002
TRAP1;0.002
BRF2;0.002
ANK1;0.002
MGAT1;0.002
STAU1;0.002
EPB41L3;0.002
NGB;0.002
ANXA11;0.002
KLC1;0.002
ODF2;0.002
OBSCN;0.002
RET;0.002
HIST3H3;0.002
STX11;0.002
FASLG;0.002
STX8;0.002
KCNB1;0.002
TXLNA;0.002
NRAP;0.002
IRS1;0.002
TGFB1I1;0.002
FKBP2;0.002
PSTPIP1;0.002
SKP2;0.002
OGT;0.002
SF3A1;0.002
GTF2A1;0.002
TAF6;0.002
XPC;0.002
HDAC6;0.002
SMARCE1;0.002
ANKRD11;0.002
PPP2R2A;0.002
HSPB1;0.002
ITCH;0.002
TSC1;0.002
PTPRB;0.002
TAF1B;0.002
TAF1C;0.002
STK4;0.002
TAF9B;0.002
COPS4;0.002
PIP4K2B;0.002
MAP3K8;0.002
TCERG1;0.002
UQCRC2;0.002
CUBN;0.002
CYR61;0.002
EDIL3;0.002
BAK1;0.002
F12;0.002
MYRIP;0.002
CETN2;0.002
IGBP1;0.002
LAMA1;0.002
XIAP;0.002
SFPQ;0.002
HECW1;0.002
FCHSD2;0.002
GABRD;0.002
DLGAP4;0.002
SKP1;0.002
GYG1;0.002
FGB;0.002
BTBD3;0.002
CARD10;0.002
CARD8;0.002
VWF;0.002
TOLLIP;0.002
PELI2;0.002
PLIN3;0.002
TSHR;0.002
UPF3B;0.002
NEDD4;0.002
SNTG2;0.002
ZMYM2;0.002
ARL3;0.002
SLC16A1;0.002
TLE2;0.002
RFX5;0.002
BIK;0.002
TXK;0.002
TAF13;0.002
AIRE;0.002
NFATC4;0.002
CDC5L;0.002
CDC7;0.002
SHFM1;0.002
PRDM1;0.002
H3F3A;0.002
BACH1;0.002
PDC;0.002
BRD7;0.002
KCNJ6;0.002
AP2A2;0.002
GNA14;0.002
TFG;0.002
EIF2B1;0.002
RAB11FIP3;0.002
KCNC1;0.002
HNRNPH1;0.002
WDR1;0.002
NEBL;0.002
CD1A;0.002
EREG;0.002
MVD;0.002
IL12RB2;0.002
PLK4;0.002
GATA6;0.002
BIRC2;0.002
MPP1;0.002
ITGA4;0.002
SERPINH1;0.002
PTBP1;0.002
IGHM;0.002
PTCH1;0.002
ARHGAP26;0.002
FNTA;0.002
BAZ2A;0.002
NR1D2;0.002
TBL1XR1;0.002
EDNRB;0.002
ECSIT;0.002
CLDN8;0.002
GRK4;0.002
GAK;0.002
HIP1;0.002
GEMIN6;0.002
DBF4;0.002
HNRNPD;0.002
ESR2;0.002
PITX2;0.002
HIC1;0.002
KDM1A;0.002
PDE3B;0.002
ZEB2;0.002
UBA52;0.002
NDE1;0.002
COL8A1;0.002
CLIP2;0.002
UBE2D1;0.002
GABARAPL2;0.002
ZNF350;0.002
RND3;0.002
HOXB13;0.002
CASP8AP2;0.002
CD99;0.002
CBX8;0.002
ARHGEF15;0.002
COPS7B;0.002
ATXN7;0.002
NDFIP1;0.002
NRGN;0.002
HEYL;0.002
SCAMP2;0.002
SEPT4;0.002
SYT11;0.002
ZNF638;0.002
ARL2;0.002
ESRRG;0.002
CDH10;0.002
PTGDS;0.002
NAE1;0.002
GRIA1;0.002
VAMP4;0.002
HINFP;0.002
IKBKE;0.002
RPN1;0.002
POLR2F;0.002
ASCC2;0.002
KIFC3;0.002
NR5A2;0.002
RAB22A;0.002
GADD45GIP1;0.002
DYRK1A;0.002
PCLO;0.002
SSSCA1;0.002
PCGF2;0.002
ZDHHC7;0.002
GMEB2;0.002
SEMA4A;0.002
PTPRZ1;0.002
DLG5;0.002
FSD1;0.002
CKS1B;0.002
BMX;0.002
CSF2RB;0.002
CD46;0.002
TAP1;0.002
CAST;0.002
CRX;0.002
ELP3;0.002
STYXL1;0.002
ICAM2;0.002
ATP7A;0.002
GSTM4;0.002
CETP;0.002
SPRR1A;0.002
FOXG1;0.002
ELAVL4;0.002
RAB3A;0.002
NQO1;0.002
TBXA2R;0.002
SAT1;0.002
SIGLEC5;0.002
G3BP1;0.002
CLTA;0.002
MFAP5;0.002
MMRN1;0.002
MYL1;0.002
NVL;0.002
FKBP5;0.002
AGT;0.002
OSM;0.002
COL4A3BP;0.002
GFAP;0.002
ANXA5;0.002
GPD1;0.002
COL1A1;0.002
IL11;0.002
KRT6A;0.002
NDUFA5;0.002
USP2;0.002
FKBP6;0.002
CPSF6;0.002
CRELD1;0.002
SMUG1;0.002
PDCD5;0.002
PSG9;0.002
MTMR9;0.002
DNPEP;0.002
CCDC106;0.002
RALYL;0.002
KRT20;0.002
PRR13;0.002
PNO1;0.002
DLEU1;0.002
ATG4B;0.002
DCTPP1;0.002
TH;0.002
MPL;0.002
SNRNP70;0.002
CCT4;0.002
KLHL35;0.002
MNDA;0.002
MAP4;0.002
SCG2;0.002
PARP3;0.002
THEG;0.002
ECM1;0.002
OFD1;0.002
ATP6AP1;0.002
CCL11;0.002
XPNPEP1;0.002
LGALS4;0.002
PPP1R8;0.002
PCYT1A;0.002
TSPYL1;0.002
NT5E;0.002
KLK5;0.002
DDIT4;0.002
TOE1;0.002
ERCC3;0.002
MMP11;0.002
MARCH5;0.002
WIZ;0.002
LAMA2;0.002
EIF3A;0.002
DHX30;0.002
HUWE1;0.002
HNF4G;0.002
PAM;0.002
TSPY1;0.002
ATAD2;0.002
EPPK1;0.002
CACNA1G;0.002
P2RY1;0.002
GPR143;0.002
CNR2;0.002
ATP5A1;0.002
AHSA2;0.002
HLA-DMA;0.002
CHMP5;0.002
IL1R2;0.002
LDHA;0.002
CTF1;0.002
PI4K2A;0.002
SLC7A5;0.002
TCL6;0.002
GLI3;0.002
ROS1;0.002
PLA2G1B;0.002
VAMP2;0.002
NUBP1;0.002
NKX2-5;0.002
GTF3A;0.002
COL5A1;0.002
CALB2;0.002
PLXNB2;0.002
GRHPR;0.002
TIMM17A;0.002
R3HDM1;0.002
PLCE1;0.002
AHDC1;0.002
CUX2;0.002
NFE2L1;0.002
YY1AP1;0.002
TYR;0.002
SAR1A;0.002
CPSF7;0.002
TULP2;0.002
LILRA3;0.002
C10orf12;0.002
KIAA0408;0.002
MRPL44;0.002
COX7A2L;0.002
CHST1;0.002
FAM50B;0.002
FAM153A;0.002
SEC24A;0.002
HSPB7;0.002
FRYL;0.002
DCC;0.002
ZCCHC14;0.002
LIME1;0.002
POFUT1;0.002
LIMA1;0.002
PRRX2;0.002
HAGH;0.002
COQ6;0.002
EML4;0.002
TACR2;0.002
CTDSP2;0.002
RPS16;0.002
ZNF155;0.002
TMEM161A;0.002
HMGN3;0.002
FA2H;0.002
HOXD12;0.002
IVL;0.002
ZNF41;0.002
MORC4;0.002
PPP1R9A;0.001
SRGN;0.001
PRLR;0.001
TEC;0.001
HNRNPK;0.001
SOCS1;0.001
BLNK;0.001
YES1;0.001
CD2AP;0.001
LGALS13;0.001
PTPN6;0.001
MATK;0.001
SH2B2;0.001
SPRED2;0.001
FGR;0.001
MAML1;0.001
CBX1;0.001
RPH3A;0.001
VEGFA;0.001
ETV1;0.001
RALGDS;0.001
TRAT1;0.001
SKAP1;0.001
DOK3;0.001
NR5A1;0.001
CD5;0.001
HCFC1;0.001
RUNX2;0.001
TDG;0.001
MAPK9;0.001
ATF3;0.001
EN1;0.001
RNPEP;0.001
FGFR2;0.001
OPRM1;0.001
ZAP70;0.001
SPRY2;0.001
UBE2G2;0.001
PPP1R12A;0.001
PKN2;0.001
ARHGEF12;0.001
ICMT;0.001
SH3BP1;0.001
TRPC1;0.001
CNKSR1;0.001
TTN;0.001
WT1;0.001
PRSS2;0.001
MEP1A;0.001
AKAP8;0.001
DMTF1;0.001
PTHLH;0.001
F2;0.001
NCOR2;0.001
CD7;0.001
FES;0.001
SLC9A2;0.001
TUBA1B;0.001
CD3E;0.001
TOM1L1;0.001
PIK3R3;0.001
PICALM;0.001
NR1I3;0.001
PKP2;0.001
SVEP1;0.001
PAPPA;0.001
SERPINF2;0.001
LRP2;0.001
LRP1B;0.001
IRF3;0.001
ARR3;0.001
ITGB3;0.001
GRB14;0.001
SNX4;0.001
PDGFD;0.001
PDGFA;0.001
DUSP3;0.001
WWP2;0.001
PIR;0.001
PDGFC;0.001
SELPLG;0.001
WRN;0.001
CCL5;0.001
TNNI3;0.001
PPP2R5A;0.001
PLTP;0.001
DLGAP1;0.001
KCNA5;0.001
WIPF2;0.001
MSH3;0.001
ING1;0.001
RAD9A;0.001
MUTYH;0.001
MSH6;0.001
HSP90B1;0.001
POLD3;0.001
SOCS2;0.001
PRL;0.001
CSH1;0.001
PRDX4;0.001
CASP8;0.001
LAIR1;0.001
NEFM;0.001
TNC;0.001
VLDLR;0.001
STAT5B;0.001
FCGR2B;0.001
SCARB1;0.001
PRKAR2A;0.001
PRKX;0.001
CBFA2T3;0.001
AKAP12;0.001
NBEA;0.001
TNFAIP1;0.001
CD247;0.001
SGCG;0.001
TNFSF11;0.001
SET;0.001
TPR;0.001
